AVG_MONTHLY_HRS,DEPT_ID,FILED_COMPLAINT,LAST_EVALUATION,N_PROJECTS,RECENTLY_PROMOTED,SALARY,SATISFACTION,STATUS,TENURE,EMPLOYEE_ID,DEPT_NAME,DEPT_HEAD
245,D00-ENG,0,0.877779,5,0,low,0.904697,Left,5,115993,Engineering,Sushant Raghunathan K
149,D00-AD,0,0.505405,2,0,low,0.451832,Left,3,111875,Admin,Evelyn Tolson
232,D00-ENG,0,0.911595,4,0,medium,0.805368,Left,5,115848,Engineering,Sushant Raghunathan K
134,D00-MT,0,0.442766,2,0,medium,0.379221,Left,3,125664,Marketing,Reuben Swann
284,D00-SS,0,0.852702,6,0,low,0.0691683,Left,4,0,Sales,Edward J Bayley
249,D00-MT,0,0.847301,4,0,low,0.909059,Left,6,126241,Marketing,Reuben Swann
257,D00-SS,0,0.889916,5,0,low,0.857449,Left,5,114810,Sales,Edward J Bayley
164,D00-SS,0,0.681106,3,0,low,0.765486,Left,3,122449,Sales,Edward J Bayley
159,D00-PR,0,0.552437,2,0,low,0.467246,Left,3,120537,Procurement,Louie Viles
154,D00-SP,0,0.734583,2,1,medium,0.440152,Left,3,110293,Support,Amelia Westray
233,D00-PD,0,0.965382,5,0,medium,0.962314,Left,5,125077,Product,Darcy Staines
239,D00-AD,0,0.927427,5,0,medium,0.783737,Left,5,127589,Admin,Evelyn Tolson
257,D00-SS,0,0.990937,5,0,low,0.751387,Left,6,123038,Sales,Edward J Bayley
260,D00-PD,0,1,5,0,low,0.808455,Left,5,128184,Product,Darcy Staines
125,D00-TP,0,0.7288275,3,0,medium,0.652394,Left,3,120360,Temp,Micheal Zachrey
308,D00-FN,0,0.736991,7,0,low,0.0807958,Left,4,121453,Finance,Aanchal J
239,D00-SS,0,0.906676,4,0,low,0.737457,Left,5,126451,Sales,Edward J Bayley
306,D00-SS,0,0.830333,6,0,high,0.0674799,Left,4,126317,Sales,Edward J Bayley
141,D00-SS,0,0.462141,2,0,low,0.435337,Left,3,120175,Sales,Edward J Bayley
159,D00-ENG,0,0.733073,2,0,high,0.375978,Left,3,111951,Engineering,Sushant Raghunathan K
143,D00-SP,0,0.512455,2,0,medium,0.484244,Left,3,111423,Support,Amelia Westray
270,D00-ENG,0,0.915772,5,0,medium,0.871095,Left,5,124781,Engineering,Sushant Raghunathan K
261,D00-SP,0,0.832946,6,0,low,0.115881,Left,4,114831,Support,Amelia Westray
301,D00-ENG,0,0.737223,4,0,low,0.464158,Left,5,112846,Engineering,Sushant Raghunathan K
296,D00-SS,0,0.87755,7,0,low,0.136835,Left,4,128630,Sales,Edward J Bayley
271,D00-SS,0,0.891916,5,0,low,0.179432,Left,4,120770,Sales,Edward J Bayley
244,D00-MT,0,0.787106,6,0,low,0.113983,Left,4,112282,Marketing,Reuben Swann
129,D00-SS,0,0.706105,2,0,low,0.447517,Left,3,125903,Sales,Edward J Bayley
290,D00-FN,0,0.808025,6,0,medium,0.059197,Left,4,129594,Finance,Aanchal J
290,D00-ENG,0,0.770248,6,0,medium,0.0903428,Left,4,117772,Engineering,Sushant Raghunathan K
249,D00-SP,0,0.997662,4,0,low,0.805852,Left,5,110508,Support,Amelia Westray
151,D00-ENG,0,0.506563,2,0,medium,0.35549,Left,3,112452,Engineering,Sushant Raghunathan K
225,D00-SS,0,0.893351,4,0,medium,0.814574,Left,5,128219,Sales,Edward J Bayley
253,D00-ENG,0,1,5,0,medium,0.852952,Left,5,126639,Engineering,Sushant Raghunathan K
269,D00-FN,0,0.932009,6,0,medium,0.0633131,Left,4,123331,Finance,Aanchal J
274,D00-ENG,0,0.944104,6,0,low,0.159258,Left,4,118903,Engineering,Sushant Raghunathan K
155,D00-MT,0,0.536342,2,0,low,0.43599,Left,3,118983,Marketing,Reuben Swann
255,D00-SP,0,0.917034,7,0,low,0.150519,Left,4,115221,Support,Amelia Westray
149,D00-PD,0,0.607982,6,0,low,0.471637,Left,4,129163,Product,Darcy Staines
271,D00-SS,0,0.64205,3,0,low,0.418694,Left,4,124226,Sales,Edward J Bayley
268,D00-ENG,0,0.922942,6,0,medium,0.0650439,Left,4,114776,Engineering,Sushant Raghunathan K
153,D00-PD,0,0.732204,2,0,low,0.455101,Left,3,121337,Product,Darcy Staines
294,D00-PD,0,0.587699,3,0,low,0.76039,Left,4,119768,Product,Darcy Staines
293,D00-SP,0,0.857715,6,0,low,0.141662,Left,4,113143,Support,Amelia Westray
309,D00-ENG,0,0.908443,7,0,low,0.1035,Left,4,126535,Engineering,Sushant Raghunathan K
235,D00-IT,0,0.957642,5,0,low,0.725715,Left,5,126561,IT,Henry Adey
158,D00-IT,0,0.546333,2,0,low,0.391487,Left,3,115017,IT,Henry Adey
273,D00-SP,0,0.734583,3,0,low,0.520728,Left,6,128872,Support,Amelia Westray
277,D00-IT,0,0.9496,2,0,medium,0.723212,Left,3,112281,IT,Henry Adey
290,D00-SS,0,0.859528,7,0,low,0.127906,Left,4,111435,Sales,Edward J Bayley
267,D00-SP,0,0.801303,5,0,medium,0.858963,Left,5,111357,Support,Amelia Westray
249,D00-SP,0,0.997918,4,0,medium,0.811695,Left,6,125156,Support,Amelia Westray
127,D00-IT,0,0.568392,2,0,low,0.455544,Left,3,120189,IT,Henry Adey
245,D00-SS,0,0.904587,4,0,low,0.724119,Left,6,124725,Sales,Edward J Bayley
198,D00-AD,1,0.571508,5,0,low,0.63736,Left,5,124761,Admin,Evelyn Tolson
160,D00-SS,0,0.420976,2,1,low,0.375963,Left,3,113099,Sales,Edward J Bayley
131,D00-FN,0,0.465087,2,0,low,0.465453,Left,3,125515,Finance,Aanchal J
150,D00-PD,0,0.601995,2,0,low,0.44277,Left,3,111957,Product,Darcy Staines
146,D00-SP,0,0.484583,2,0,low,0.471085,Left,3,112662,Support,Amelia Westray
254,D00-SP,0,0.85053,6,0,low,0.0850537,Left,5,121651,Support,Amelia Westray
152,D00-MT,0,0.506971,2,0,medium,0.387467,Left,3,115628,Marketing,Reuben Swann
151,D00-PD,0,0.438951,2,0,low,0.389023,Left,3,125676,Product,Darcy Staines
135,D00-SS,0,0.540937,2,0,low,0.312896,Left,5,125999,Sales,Edward J Bayley
236,D00-PD,0,0.896563,5,0,low,0.765251,Left,6,118541,Product,Darcy Staines
158,D00-SP,0,0.734583,2,0,low,0.338341,Left,3,129462,Support,Amelia Westray
145,D00-SS,0,0.502312,2,0,low,0.405199,Left,3,111774,Sales,Edward J Bayley
160,D00-SS,0,0.508932,2,0,low,0.407259,Left,3,124270,Sales,Edward J Bayley
279,D00-SS,0,0.79986,6,0,low,0.0985616,Left,4,111233,Sales,Edward J Bayley
274,D00-SP,0,0.878575,5,0,medium,0.79105,Left,6,118361,Support,Amelia Westray
296,D00-SS,0,0.677557,2,0,medium,0.467873,Left,5,114462,Sales,Edward J Bayley
259,D00-SP,0,0.848992,6,0,medium,0.178243,Left,5,117092,Support,Amelia Westray
164,D00-SS,0,0.714642,4,0,low,0.524464,Left,2,116698,Sales,Edward J Bayley
253,D00-MT,0,0.83395,6,0,medium,0.145414,Left,4,112773,Marketing,Reuben Swann
297,D00-SS,0,0.878721,6,0,high,0.104844,Left,5,115412,Sales,Edward J Bayley
151,D00-SS,0,0.706105,2,0,low,0.42148,Left,3,111116,Sales,Edward J Bayley
130,D00-SP,0,0.548987,2,0,medium,0.422146,Left,3,118046,Support,Amelia Westray
258,D00-ENG,0,0.959213,4,0,medium,0.944949,Left,5,111562,Engineering,Sushant Raghunathan K
140,D00-SP,0,0.521566,2,0,low,0.461044,Left,3,113738,Support,Amelia Westray
281,D00-MN,0,0.99766,6,0,medium,0.107146,Left,4,110438,Management,Ellie Trafton
156,D00-FN,0,0.528929,2,0,high,0.312928,Left,3,126579,Finance,Aanchal J
153,D00-FN,0,0.736991,2,0,low,0.356232,Left,3,117468,Finance,Aanchal J
223,D00-SS,0,0.837597,5,0,low,0.738441,Left,5,117159,Sales,Edward J Bayley
147,D00-SP,0,0.452001,2,0,low,0.34499,Left,3,113211,Support,Amelia Westray
148,D00-SS,0,0.533172,2,0,low,0.36142,Left,3,115247,Sales,Edward J Bayley
246,D00-SS,0,0.944761,4,0,low,0.928173,Left,5,129323,Sales,Edward J Bayley
310,D00-PD,0,0.524456,5,0,medium,0.414488,Left,3,126390,Product,Darcy Staines
137,D00-ENG,0,0.499013,2,0,medium,0.504321,Left,3,110118,Engineering,Sushant Raghunathan K
303,D00-FN,0,0.866422,5,0,medium,0.0609863,Left,5,116771,Finance,Aanchal J
151,D00-MN,0,0.522235,2,0,low,0.421082,Left,3,123359,Management,Ellie Trafton
150,D00-SP,0,0.531091,2,0,low,0.429583,Left,3,110191,Support,Amelia Westray
239,D00-IT,0,0.82423,4,0,low,0.776066,Left,6,118749,IT,Henry Adey
202,D00-SS,0,0.706105,3,0,medium,0.425503,Left,3,113867,Sales,Edward J Bayley
279,D00-SS,0,0.807814,6,0,low,0.126932,Left,4,127553,Sales,Edward J Bayley
127,D00-IT,0,0.516111,2,0,low,0.357358,Left,3,112716,IT,Henry Adey
136,D00-SS,0,0.48096,2,0,medium,0.401807,Left,3,119437,Sales,Edward J Bayley
274,D00-SS,0,0.574151,2,0,low,0.732505,Left,4,112066,Sales,Edward J Bayley
156,D00-SS,1,0.498253,2,0,low,0.453624,Left,3,120884,Sales,Edward J Bayley
261,D00-IT,0,0.878444,6,0,medium,0.101731,Left,4,126747,IT,Henry Adey
136,D00-SS,0,0.53546,2,0,low,0.487851,Left,3,113308,Sales,Edward J Bayley
287,D00-ENG,0,0.918562,6,0,low,0.142113,Left,4,129482,Engineering,Sushant Raghunathan K
218,D00-IT,1,0.85036,4,0,low,0.822958,Left,5,111568,IT,Henry Adey
172,D00-SS,0,0.706105,5,0,low,0.326353,Left,2,126959,Sales,Edward J Bayley
305,D00-ENG,0,0.881748,7,0,medium,0.139059,Left,4,126226,Engineering,Sushant Raghunathan K
291,D00-SS,0,0.819279,6,0,low,0.101794,Left,4,121608,Sales,Edward J Bayley
246,D00-PD,0,0.88409,6,0,medium,0.131505,Left,4,115133,Product,Darcy Staines
243,D00-PD,0,0.923938,6,0,high,0.154765,Left,4,129924,Product,Darcy Staines
256,D00-SP,0,0.962934,6,0,low,0.0798577,Left,4,126368,Support,Amelia Westray
228,D00-SP,0,0.968112,5,0,low,0.75621,Left,5,123258,Support,Amelia Westray
283,D00-ENG,0,0.789851,7,0,low,0.128018,Left,5,116362,Engineering,Sushant Raghunathan K
242,D00-SP,0,0.846659,5,0,medium,0.772121,Left,5,114759,Support,Amelia Westray
245,D00-ENG,0,0.885296,5,0,low,0.817257,Left,5,126986,Engineering,Sushant Raghunathan K
260,D00-IT,0,0.876539,5,0,medium,0.872302,Left,5,110235,IT,Henry Adey
192,D00-SS,0,0.551225,7,0,low,0.210584,Left,3,120655,Sales,Edward J Bayley
158,D00-SP,0,0.547159,2,0,low,0.358773,Left,3,119989,Support,Amelia Westray
306,D00-ENG,0,0.893635,6,0,low,0.166866,Left,4,114238,Engineering,Sushant Raghunathan K
154,D00-ENG,0,0.889985,3,0,medium,0.401073,Left,4,119337,Engineering,Sushant Raghunathan K
298,D00-SS,0,0.888568,6,0,low,0.14453,Left,4,110133,Sales,Edward J Bayley
285,D00-IT,0,0.931751,7,0,low,0.0737981,Left,4,122457,IT,Henry Adey
260,D00-SP,0,0.895906,5,0,low,0.867948,Left,5,129990,Support,Amelia Westray
159,D00-PD,0,0.732204,2,0,low,0.324768,Left,3,111738,Product,Darcy Staines
156,D00-SS,0,0.419956,2,0,low,0.38645,Left,3,127703,Sales,Edward J Bayley
147,D00-SP,0,0.582465,2,0,low,0.442294,Left,3,118948,Support,Amelia Westray
247,D00-ENG,0,0.876086,5,0,low,0.83846,Left,5,110665,Engineering,Sushant Raghunathan K
246,D00-SS,1,0.855755,5,0,medium,0.830533,Left,5,119980,Sales,Edward J Bayley
216,D00-ENG,0,1,4,0,low,0.753578,Left,6,129685,Engineering,Sushant Raghunathan K
140,D00-PD,0,0.530962,2,0,medium,0.43994,Left,3,111673,Product,Darcy Staines
247,D00-SS,0,0.942873,7,0,medium,0.144449,Left,4,128659,Sales,Edward J Bayley
280,D00-ENG,0,0.630177,2,0,low,0.327048,Left,4,123252,Engineering,Sushant Raghunathan K
265,D00-SS,0,0.792833,4,0,low,0.920042,Left,6,111351,Sales,Edward J Bayley
128,D00-SS,0,0.498708,2,0,medium,0.423624,Left,3,116572,Sales,Edward J Bayley
255,D00-SP,0,0.894924,7,0,medium,0.17525,Left,4,113178,Support,Amelia Westray
263,D00-ENG,0,1,4,0,medium,0.829606,Left,6,129044,Engineering,Sushant Raghunathan K
255,D00-SP,0,0.930584,7,0,medium,0.0806184,Left,4,115307,Support,Amelia Westray
132,D00-SS,0,0.477055,2,0,medium,0.495775,Left,3,122572,Sales,Edward J Bayley
136,D00-ENG,0,0.529917,2,0,low,0.377291,Left,3,111962,Engineering,Sushant Raghunathan K
141,D00-SS,1,0.462154,2,0,low,0.466326,Left,3,117757,Sales,Edward J Bayley
131,D00-SS,0,0.485783,2,0,low,0.349181,Left,3,112450,Sales,Edward J Bayley
296,D00-ENG,0,0.885543,7,0,medium,0.09247,Left,4,123971,Engineering,Sushant Raghunathan K
137,D00-SS,0,0.706105,2,0,low,0.418467,Left,3,111912,Sales,Edward J Bayley
258,D00-SS,0,0.967462,2,0,low,0.667322,Left,5,118136,Sales,Edward J Bayley
159,D00-SS,0,0.544412,2,0,medium,0.422724,Left,3,115233,Sales,Edward J Bayley
129,D00-ENG,0,0.558944,2,0,medium,0.469451,Left,3,123573,Engineering,Sushant Raghunathan K
276,D00-SP,0,0.752432,5,0,low,0.115195,Left,4,122152,Support,Amelia Westray
139,D00-SS,0,0.585351,2,0,low,0.475075,Left,3,111005,Sales,Edward J Bayley
142,D00-SS,0,0.706105,2,0,low,0.447818,Left,3,119822,Sales,Edward J Bayley
130,D00-SS,0,0.484567,2,0,low,0.455295,Left,3,128303,Sales,Edward J Bayley
285,D00-ENG,0,0.901575,6,0,low,0.131683,Left,4,116549,Engineering,Sushant Raghunathan K
285,D00-FN,0,0.754973,6,0,medium,0.0904151,Left,4,123927,Finance,Aanchal J
309,D00-SS,0,0.876306,6,0,medium,0.101742,Left,4,110550,Sales,Edward J Bayley
263,D00-SP,0,0.887814,4,0,low,0.773491,Left,5,118142,Support,Amelia Westray
276,D00-SS,0,0.902899,6,0,low,0.0961399,Left,4,128622,Sales,Edward J Bayley
285,D00-IT,0,0.797767,7,0,medium,0.125959,Left,4,115278,IT,Henry Adey
155,D00-IT,0,0.525671,2,0,low,0.381088,Left,3,126982,IT,Henry Adey
299,D00-SS,1,0.819308,6,0,low,0.129074,Left,4,128620,Sales,Edward J Bayley
158,D00-SP,0,0.543576,2,0,low,0.35252,Left,3,129181,Support,Amelia Westray
270,D00-SS,0,0.855482,4,0,low,0.884897,Left,5,117890,Sales,Edward J Bayley
278,D00-MT,0,0.949239,6,0,low,0.0938494,Left,4,117601,Marketing,Reuben Swann
143,D00-PD,0,0.509272,2,0,medium,0.429593,Left,3,114547,Product,Darcy Staines
282,D00-MT,0,0.676745,2,0,low,0.356162,Left,5,112646,Marketing,Reuben Swann
247,D00-SS,0,0.516293,2,0,medium,0.0597921,Left,4,113224,Sales,Edward J Bayley
158,D00-SS,0,0.554521,2,0,low,0.365284,Left,3,111135,Sales,Edward J Bayley
142,D00-SP,0,0.734583,2,0,medium,0.484054,Left,3,110364,Support,Amelia Westray
151,D00-AD,0,0.458269,2,0,medium,0.381992,Left,3,120488,Admin,Evelyn Tolson
247,D00-ENG,0,0.84342,4,0,low,0.813122,Left,6,127020,Engineering,Sushant Raghunathan K
255,D00-SS,0,0.86191,6,0,low,0.135853,Left,4,118213,Sales,Edward J Bayley
241,D00-SS,0,0.972069,5,0,medium,0.786684,Left,5,119615,Sales,Edward J Bayley
143,D00-SS,0,0.561972,2,0,low,0.415942,Left,3,128928,Sales,Edward J Bayley
290,D00-SS,0,0.896066,7,0,low,0.101141,Left,4,123853,Sales,Edward J Bayley
290,D00-MN,0,0.755191,7,0,low,0.080867,Left,4,124961,Management,Ellie Trafton
267,D00-SP,0,0.828781,5,0,low,0.789816,Left,5,116866,Support,Amelia Westray
156,D00-SS,1,0.414742,2,0,low,0.361317,Left,3,119040,Sales,Edward J Bayley
159,D00-SS,0,0.706105,2,0,low,0.405428,Left,3,112121,Sales,Edward J Bayley
160,D00-ENG,0,0.600898,2,0,medium,0.40791,Left,3,113512,Engineering,Sushant Raghunathan K
232,D00-SS,0,0.960754,4,0,low,0.884619,Left,5,117565,Sales,Edward J Bayley
141,D00-SS,1,0.503339,2,0,low,0.501475,Left,3,123162,Sales,Edward J Bayley
139,D00-MT,0,0.533964,2,0,low,0.385363,Left,3,111800,Marketing,Reuben Swann
160,D00-SS,0,0.480823,2,0,low,0.398427,Left,3,117397,Sales,Edward J Bayley
258,D00-SS,0,0.950414,2,0,low,0.652081,Left,5,110577,Sales,Edward J Bayley
268,D00-SP,0,0.953886,6,0,low,0.169063,Left,4,128931,Support,Amelia Westray
134,D00-SP,0,0.526204,2,0,low,0.388992,Left,3,116217,Support,Amelia Westray
148,D00-SS,0,0.706105,2,0,low,0.430123,Left,3,117262,Sales,Edward J Bayley
136,D00-ENG,0,0.786735,5,0,low,0.0878727,Left,2,114632,Engineering,Sushant Raghunathan K
137,D00-IT,0,0.543217,2,0,medium,0.44207,Left,3,126341,IT,Henry Adey
144,D00-PD,0,0.458964,2,0,medium,0.382781,Left,3,125586,Product,Darcy Staines
157,D00-SS,0,0.503556,2,0,low,0.328297,Left,3,118385,Sales,Edward J Bayley
280,D00-ENG,0,0.839185,6,0,low,0.0702263,Left,4,121861,Engineering,Sushant Raghunathan K
264,D00-ENG,0,0.96353,5,0,medium,0.74303,Left,5,119824,Engineering,Sushant Raghunathan K
137,D00-FN,0,0.526296,2,0,medium,0.455517,Left,3,122944,Finance,Aanchal J
149,D00-PD,0,0.515149,2,0,high,0.42107,Left,3,110519,Product,Darcy Staines
291,D00-PD,0,0.876973,6,0,low,0.0668486,Left,4,123000,Product,Darcy Staines
254,D00-SS,0,0.547034,4,0,low,0.505422,Left,4,125121,Sales,Edward J Bayley
158,D00-SS,0,0.512585,2,0,low,0.371049,Left,3,126516,Sales,Edward J Bayley
138,D00-MT,0,0.520361,2,0,medium,0.403928,Left,3,121428,Marketing,Reuben Swann
153,D00-SP,0,0.536117,2,0,low,0.36667,Left,3,119322,Support,Amelia Westray
278,D00-ENG,0,0.815264,6,0,high,0.0792939,Left,4,112123,Engineering,Sushant Raghunathan K
159,D00-SS,0,0.597303,2,0,medium,0.417487,Left,3,123877,Sales,Edward J Bayley
154,D00-SS,0,0.607358,2,0,low,0.417173,Left,3,116127,Sales,Edward J Bayley
310,D00-PD,0,0.732204,6,0,low,0.111914,Left,4,114952,Product,Darcy Staines
156,D00-MN,0,0.454041,2,0,medium,0.400145,Left,3,118492,Management,Ellie Trafton
280,D00-SP,0,0.957407,6,0,low,0.158427,Left,4,115874,Support,Amelia Westray
249,D00-MT,0,0.697713,3,0,medium,0.781751,Left,5,119371,Marketing,Reuben Swann
224,D00-FN,0,0.469179,7,0,medium,0.19819,Left,5,122758,Finance,Aanchal J
160,D00-MT,0,0.426595,2,0,medium,0.3736,Left,3,129865,Marketing,Reuben Swann
273,D00-MN,0,0.850542,4,0,low,0.811183,Left,5,120433,Management,Ellie Trafton
143,D00-ENG,0,0.562405,2,0,medium,0.420525,Left,3,129655,Engineering,Sushant Raghunathan K
298,D00-SS,0,0.965138,6,0,low,0.0946862,Left,4,115706,Sales,Edward J Bayley
239,D00-MT,0,1,5,0,low,0.843067,Left,6,115424,Marketing,Reuben Swann
251,D00-MT,0,0.944582,4,0,medium,0.829317,Left,5,125406,Marketing,Reuben Swann
160,D00-SS,0,0.492099,2,0,low,0.363487,Left,3,113247,Sales,Edward J Bayley
140,D00-ENG,0,0.536804,2,0,medium,0.376617,Left,3,121907,Engineering,Sushant Raghunathan K
136,D00-PD,0,0.515691,2,0,low,0.368244,Left,3,123674,Product,Darcy Staines
142,D00-SS,0,0.538917,2,0,low,0.355897,Left,3,127169,Sales,Edward J Bayley
260,D00-SS,0,0.513827,4,0,medium,0.588318,Left,3,126524,Sales,Edward J Bayley
290,D00-ENG,0,0.76584,6,0,medium,0.0827398,Left,5,126214,Engineering,Sushant Raghunathan K
245,D00-SS,0,0.835256,5,0,low,0.829798,Left,5,113303,Sales,Edward J Bayley
124,D00-TP,0,0.7288275,3,0,low,0.652394,Left,3,116012,Temp,Micheal Zachrey
289,D00-SS,0,0.852163,7,0,low,0.0703123,Left,4,112487,Sales,Edward J Bayley
257,D00-FN,0,1,5,0,medium,0.886461,Left,5,118135,Finance,Aanchal J
233,D00-IT,0,1,4,0,low,0.714841,Left,5,112968,IT,Henry Adey
269,D00-IT,0,0.797653,6,0,low,0.071595,Left,4,123099,IT,Henry Adey
228,D00-PD,0,0.937202,4,0,low,0.745604,Left,5,118080,Product,Darcy Staines
119,D00-TP,0,0.7288275,2,0,medium,0.652394,Left,3,116287,Temp,Micheal Zachrey
248,D00-PD,0,1,5,0,medium,0.836733,Left,5,122086,Product,Darcy Staines
261,D00-FN,0,0.828202,6,0,medium,0.153197,Left,4,120176,Finance,Aanchal J
218,D00-SS,0,0.971004,4,0,low,0.75095,Left,5,115770,Sales,Edward J Bayley
172,D00-SS,0,0.706105,5,0,low,0.383471,Left,2,113487,Sales,Edward J Bayley
270,D00-SP,1,0.822992,5,0,medium,0.777664,Left,5,129531,Support,Amelia Westray
257,D00-SP,0,0.797304,6,0,low,0.114947,Left,4,121175,Support,Amelia Westray
128,D00-SS,0,0.517344,2,0,low,0.390653,Left,3,113196,Sales,Edward J Bayley
151,D00-IT,0,0.545662,2,0,low,0.380905,Left,3,113595,IT,Henry Adey
145,D00-IT,0,0.538776,2,0,low,0.33669,Left,3,123762,IT,Henry Adey
135,D00-IT,0,0.527794,2,0,low,0.341672,Left,3,113326,IT,Henry Adey
304,D00-ENG,0,0.82532,6,0,low,0.115863,Left,4,123610,Engineering,Sushant Raghunathan K
136,D00-IT,0,0.546984,2,0,low,0.318171,Left,3,128970,IT,Henry Adey
132,D00-ENG,0,0.520296,2,0,medium,0.374531,Left,3,128674,Engineering,Sushant Raghunathan K
248,D00-SP,0,1,5,0,medium,0.700604,Left,5,111481,Support,Amelia Westray
141,D00-SS,0,0.529515,2,0,low,0.394023,Left,3,119885,Sales,Edward J Bayley
132,D00-SS,0,0.571622,5,0,low,0.301249,Left,5,129693,Sales,Edward J Bayley
147,D00-SS,0,0.706105,2,0,low,0.475132,Left,3,122010,Sales,Edward J Bayley
149,D00-SP,0,0.517082,2,0,low,0.428383,Left,3,124075,Support,Amelia Westray
129,D00-MN,0,0.7413715,2,0,low,0.488907,Left,3,110457,Management,Ellie Trafton
151,D00-SS,0,0.498054,2,0,low,0.385963,Left,3,114524,Sales,Edward J Bayley
144,D00-SS,0,0.576558,2,0,low,0.465891,Left,3,119723,Sales,Edward J Bayley
159,D00-PD,0,0.525789,2,0,medium,0.441667,Left,3,129013,Product,Darcy Staines
156,D00-SS,0,0.495712,2,0,medium,0.485934,Left,3,117715,Sales,Edward J Bayley
146,D00-MT,0,0.519571,2,0,low,0.426425,Left,3,113703,Marketing,Reuben Swann
150,D00-SS,0,0.425017,2,0,low,0.481675,Left,3,121622,Sales,Edward J Bayley
236,D00-SS,0,1,3,0,medium,0.319276,Left,4,126087,Sales,Edward J Bayley
262,D00-IT,0,0.901248,5,0,low,0.717886,Left,5,117187,IT,Henry Adey
143,D00-FN,0,0.525877,2,0,medium,0.354678,Left,3,129025,Finance,Aanchal J
244,D00-ENG,0,0.867343,6,0,medium,0.129053,Left,4,126377,Engineering,Sushant Raghunathan K
249,D00-IT,0,0.983261,4,0,low,0.809117,Left,5,124473,IT,Henry Adey
151,D00-MN,0,0.539141,2,0,low,0.452634,Left,3,122410,Management,Ellie Trafton
271,D00-ENG,0,0.946384,5,0,low,0.934184,Left,5,121359,Engineering,Sushant Raghunathan K
266,D00-FN,0,0.904513,5,0,medium,0.7857,Left,5,117699,Finance,Aanchal J
263,D00-SS,0,0.989693,5,0,low,0.828111,Left,6,111203,Sales,Edward J Bayley
242,D00-SP,0,0.900549,5,0,medium,0.820155,Left,5,128209,Support,Amelia Westray
309,D00-SP,0,0.875607,6,0,low,0.0870366,Left,4,120671,Support,Amelia Westray
144,D00-SS,0,0.706105,2,0,medium,0.4203,Left,3,115479,Sales,Edward J Bayley
147,D00-ENG,0,0.522608,2,0,medium,0.362178,Left,3,118588,Engineering,Sushant Raghunathan K
